"Strain","Shannon_Index"
"B440",1.89520836485482
"B458",1.88248477694158
"B476",1.90759842292701
"B527",1.55414507943368
"B536",1.96041344093802
"H643",1.68839086879976
"H646",1.68848102827291
"H713",1.3166816003435
"H718",1.85354751657758
"H732",1.93462060863337
"H877",1.56843717048684
"H898",1.63364335696194
"H905",1.87731887533052
"H941",1.77518546700499
"H962",1.2384644944543
"H963",0.856372304090381
"H964",1.83122689582604
"H996",1.75057567561475
"P105",1.91730956225331
"P193",1.60528432049966
"Q748",1.61966313003942
"Q768",1.18778845709779
"Q884",1.68080985267354
"R107",1.74477349962581
"R114",1.47874688216806
"R425",1.01277279720622
"R510",1.49585305490489
"R699",1.89660232920179
"R894",1.60004701433528
"R909",1.29348719639681
"R921",1.93876231054234
"R942",1.62244110413137
"S051",2.00071213669281
"S055",1.70177981667294
"S103",1.5222732415958
"S143",1.91751877283427
"S197",1.64194882721101
"S205",1.60859650961907
"S237",1.54955361486183
"S243",1.84899179939791
"S296",1.7456619041342
"S299",1.41383194518017
"S325",1.4756875311328
"S342",1.27028958623346
"S416",1.91859054012996
"S673",1.03225996190838
"S744",0.998725501561923
"S801",1.57717268986868
"S820",0.832576793219059
"S848",-0.199693890057582
"S860",1.70917999459839
"S863",1.37131207347528
"S960",0.960511730476424
"S991",1.70793535779241
"S996",1.65058963350066
"T001",1.52687181130042
"T003",1.24467384194782
"T005",1.70989262750718
"T029",1.52393842174359
"T045",1.46050097412868
"T084",1.7575813191543
"T088",1.43595080438993
"T124",1.6848022879603
"T131",1.53069334864667
"T133",1.40703451438315
"T138",1.62578500216495
"T148",1.6076586037178
"T150",1.15911060018861
"T250",1.03825630332317
"T261",1.15027000662342
"T403",1.355349399637
"T569",1.64016820087301
"T584",1.24334795509138
"T603",1.93284555435837
"T609",1.8491113211007
"T796",1.6926971133211
"T798",1.44541242171792
"T799",0.959415143535587
"T800",1.37401734541276
"T849",1.50766320470073
"T850",1.4893343667669
"T851",1.65534995034749
"T854",1.23602759238551
"T855",1.81199364301385
"T857",1.37642466901946
"T859",1.32440300837285
"X481",1.43894846143552
"X482",1.45022838778865
"X508",1.57880228347699
"X814",1.40271640662535
"X891",1.7583057648079
"Y011",1.78793993715371
"Y012",1.67185126600843
"Y202",1.38956672088799
"Y230",1.84684836349946
"Y231",1.73842046968215
"Y234",1.56023280452708
"Y237",1.70869816411241
"Y239",1.18642440081831
"Y244",1.6822087853695
"Y256",1.57315090090722
"Y260",1.73353519973429
"Y280",1.84507375345394
"Y281",1.09120225326053
"Y282",1.22929887069039
"Y330",1.85121046176123
"Y331",1.00306499088028
"Y363",0.884491623329889
"Y486",1.51214038605639
"Y498",0.872639570352285
"Y646",0.613907957915169
"Y666",1.94909381903905
"Y673",1.89555857878865
"Y678",1.6979157399483
"Y679",1.42349168804264
"Y681",1.30454695989996
"Y685",1.35415136131983
"Y690",1.40522842909295
"Y694",1.82871237361043
"Y703",1.35276240642809
