"ATTRIBUTE_strain","ATTRIBUTE_Bacteria","total_IQ"
"B440","S_Tropica",0.882309947413014
"B458","S_Arenicola",0.952602217032227
"B476","S_Tropica",0.899455802772804
"B527","S_Arenicola",1.22947594585954
"B536","S_Tropica",0.828358516843827
"H643","S_Arenicola",1.03176739461878
"H646","S_Arenicola",0.901053715478888
"H713","S_Arenicola",1.01006687290127
"H718","S_Arenicola",1.38518972265662
"H732","S_Pacifica",1.07952651609747
"H877","S_Arenicola",1.36447517772596
"H898","S_Tropica",1.07487100862136
"H905","S_Arenicola",0.923624065200565
"H941","S_Arenicola",0.947922326785158
"H962","S_Arenicola",1.37080163164644
"H963","S_Arenicola",1.42834227667133
"H964","S_Arenicola",0.846494318140986
"H996","S_Arenicola",1.129664831863
"P105","S_Arenicola",0.908779755996108
"P193","S_Arenicola",1.06858155145454
"Q748","S_Arenicola",1.25280502988208
"Q768","S_Pacifica",1.30593521129023
"Q884","S_Arenicola",1.00105644655179
"R107","S_Arenicola",0.895877907171497
"R114","S_Pacifica",1.2047763196393
"R425","S_Arenicola",1.28730085391342
"R510","S_Pacifica",1.42661879360267
"R699","S_Tropica",0.908886549101761
"R894","S_Pacifica",1.14203838055582
"R909","S_Pacifica",1.29490780793802
"R921","S_Arenicola",0.926318335951603
"R942","S_Pacifica",1.20681472943043
"S051","S_Arenicola",0.937194665345433
"S055","S_Pacifica",1.69526035121937
"S103","S_Pacifica",1.12034556971942
"S143","S_Pacifica",0.808721421959483
"S197","S_Tropica",0.996533610051089
"S205","S_Arenicola",0.996965813622043
"S237","S_Pacifica",1.1584443328164
"S243","S_Arenicola",1.01808416541332
"S296","S_Arenicola",1.07069152111986
"S299","S_Arenicola",1.77146997757943
"S325","S_Arenicola",1.01645505160659
"S342","S_Arenicola",1.41210775425527
"S416","S_Tropica",0.911525141292916
"S673","S_Arenicola",1.17065939083642
"S744","S_Arenicola",1.17654698881585
"S801","S_Pacifica",1.2275587616858
"S820","S_Arenicola",1.21067220792456
"S848","S_Arenicola",1.51786459094396
"S860","S_Pacifica",1.4286407767526
"S863","S_Pacifica",1.522877728267
"S960","S_Pacifica",1.47113617195465
"S991","S_Arenicola",0.999915518769248
"S996","S_Pacifica",1.11936291043023
"T001","S_Pacifica",0.977011539406358
"T003","S_Pacifica",1.20470689559896
"T005","S_Arenicola",0.829418131613068
"T029","S_Pacifica",1.18134397782015
"T045","S_Pacifica",1.28613533778246
"T084","S_Pacifica",0.878268756360912
"T088","S_Arenicola",1.31433865184158
"T124","S_Pacifica",0.862533051437292
"T131","S_Pacifica",0.921886421319126
"T133","S_Pacifica",1.1596422644516
"T138","S_Pacifica",1.05786078926409
"T148","S_Pacifica",1.09998197271313
"T150","S_Pacifica",1.04696134912452
"T250","S_Tropica",1.27521299428336
"T261","S_Tropica",1.71807868583112
"T403","S_Pacifica",1.79697101358756
"T569","S_Pacifica",1.00339287993339
"T584","S_Pacifica",1.42453458021647
"T603","S_Pacifica",0.940806790307847
"T609","S_Pacifica",0.83061200923302
"T796","S_Pacifica",1.40093400105746
"T798","S_Arenicola",1.76022926468418
"T799","S_Arenicola",1.26722895314502
"T800","S_Arenicola",1.74419343878163
"T849","S_Arenicola",1.16713194405212
"T850","S_Arenicola",1.66616526779432
"T851","S_Pacifica",1.00356021664432
"T854","S_Pacifica",1.36775478049434
"T855","S_Pacifica",1.82721711403391
"T857","S_Pacifica",1.64329057862129
"T859","S_Arenicola",1.63920692474219
"X481","S_Arenicola",1.61917938936148
"X482","S_Arenicola",1.08223998948846
"X508","S_Arenicola",1.17338711981872
"X814","S_Arenicola",1.60697473438056
"X891","S_Arenicola",0.872649288614582
"Y011","S_Arenicola",0.845009832553617
"Y012","S_Tropica",1.00942329725727
"Y202","S_Pacifica",1.42995786784545
"Y230","S_Arenicola",1.15632767691339
"Y231","S_Arenicola",0.901992069485028
"Y234","S_Arenicola",1.42379587307758
"Y237","S_Arenicola",1.06462185845085
"Y239","S_Pacifica",1.41772882491007
"Y244","S_Arenicola",1.21259643519323
"Y256","S_Arenicola",0.836576495657937
"Y260","S_Arenicola",0.911411283854689
"Y280","S_Arenicola",1.24342485592558
"Y281","S_Arenicola",1.4315152369374
"Y282","S_Arenicola",1.32017448456548
"Y330","S_Pacifica",1.04780061958627
"Y331","S_Pacifica",1.34027879524226
"Y363","S_Pacifica",1.76794368773638
"Y486","S_Arenicola",1.30501221838326
"Y498","S_Pacifica",1.60069596002609
"Y646","S_Pacifica",1.5631901508073
"Y666","S_Pacifica",1.42895919502979
"Y673","S_Pacifica",1.53147362610432
"Y678","S_Tropica",1.03972280258967
"Y679","S_Arenicola",0.894937267645573
"Y681","S_Tropica",1.70079589744066
"Y685","S_Arenicola",1.51334034518492
"Y690","S_Arenicola",2.07846601950334
"Y694","S_Arenicola",1.08449582394451
"Y703","S_Pacifica",1.97023705186905
