"ATTRIBUTE_Strain","id","MQScore"
"Control","1536","0.793892"
"Control","1964","0.550612"
"Control","1070","0.722402"
"Control","1386","0.789229"
"Control","1167","0.9541360000000001"
"Control","2414","0.723683"
"Control","437","0.965032"
"Control","1351","0.9354399999999999"
"Control","2529","0.329436"
"Control","203","0.93904"
"Control","624","0.8994719999999999"
"Control","2213","0.9466549999999999"
"Control","1177","0.779072"
"Control","158","0.878765"
"Control","2339","0.658071"
"Control","2402","0.631001"
"Control","2334","0.713969"
"Control","1436","0.716884"
"Control","2313","0.697766"
"Control","1534","0.9038219999999999"
"Control","1354","0.532782"
"Control","1069","0.607068"
"Control","82","0.480415"
"Control","1500","0.810052"
"Control","891","0.9494790000000001"
"Control","1502","0.847724"
"Control","1277","0.63007"
"Control","1636","0.493123"
"Control","370","0.759985"
"Control","994","0.8201"
"Control","679","0.809874"
"Control","131","0.817293"
"Control","113","0.971548"
"Control","1535","0.8151149999999999"
"Control","2092","0.814929"
"Control","2104","0.797968"
"Control","2599","0.651593"
"Control","2090","0.594366"
"Control","2441","0.741744"
"Control","16","0.929891"
"Control","473","0.27915100000000004"
"Control","1014","0.9698209999999999"
"Control","544","0.9171290000000001"
"Control","413","0.851692"
"Control","2579","0.8008270000000001"
"Control","2426","0.744678"
"Control","1439","0.591305"
"Control","488","0.294171"
"Control","2597","0.9571700000000001"
"Control","355","0.510941"
"Control","912","0.9539110000000001"
"Control","1275","0.787691"
"Control","2132","0.7282689999999999"
"Control","1960","0.800143"
"Control","18","0.982075"
"Control","734","0.946794"
"Control","799","0.8749819999999999"
"Control","1503","0.8605"
"Control","56","0.539975"
"Control","956","0.684437"
"Control","2601","0.8512620000000001"
"Control","911","0.8504149999999999"
"Control","1180","0.8463729999999999"
"Control","410","0.5936"
"Control","1952","0.37764200000000003"
"Control","735","0.855032"
"Control","993","0.8917790000000001"
"Control","371","0.5873619999999999"
"Control","277","0.6334770000000001"
"Control","1330","0.793459"
"Control","886","0.936291"
"Control","2578","0.403114"
"Control","953","0.9078360000000001"
"Control","2371","0.37148600000000004"
"Control","1815","0.8185180000000001"
"Control","2342","0.650947"
"Control","1437","0.222683"
"Control","1836","0.747634"
"Control","1499","0.778172"
"Control","1178","0.930465"
"Control","935","0.831509"
