filename;ATTRIBUTE_Bacteria;ATTRIBUTE_Strain
Indice_Actinos_Control_HP20_SFM_1.mzML;Control;Control
Indice_Actinos_Control_HP20_SFM_3.mzML;Control;Control
Indice_Actinos_Control_HP20_SFM_2.mzML;Control;Control
Indice_Actinos_HP20_SFM_Rhodococcus171_1.mzML;Rhodococcus;171
Indice_Actinos_Control_HP20_SFM_4.mzML;Control;Control
Indice_Actinos_HP20_SFM_Rhodococcus171_2.mzML;Rhodococcus;171
Indice_Actinos_HP20_SFM_Rhodococcus171_3.mzML;Rhodococcus;171
Indice_Actinos_HP20_SFM_Rhodococcus171_4.mzML;Rhodococcus;171
Indice_Actinos_HP20_SFM_Upala1_1.mzML;Upala;1
Indice_Actinos_HP20_SFM_Upala1_2.mzML;Upala;1
Indice_Actinos_HP20_SFM_Upala1_3.mzML;Upala;1
Indice_Actinos_HP20_SFM_Upala1_4.mzML;Upala;1
Indice_Actinos_HP20_SFM_Upala2_1.mzML;Upala;2
Indice_Actinos_HP20_SFM_Upala2_2.mzML;Upala;2
Indice_Actinos_HP20_SFM_Upala2_3.mzML;Upala;2
